iid	model	creator	title	date	department
und:cr56n012218	Etd	MaryReginald Anibueze	Eucharistic Communion and Rituals of Communion in Igbo Culture: An Integrative Study of Liturgy, Faith, and Culture		University of Notre Dame::College of Arts and Letters::Theology
und:cv43nv9580d	Etd	Robert K Garcia	Nominalist Constituent Ontologies: A Development and Critique	2010-11-29	University of Notre Dame::College of Arts and Letters::Philosophy
und:cv43nv9581r	Etd	Michael Strand	A Genealogy of Social Justice: Britain, 1834-1914	2013-05-15	University of Notre Dame::College of Arts and Letters::Sociology
und:cv43nv95765	Etd	Maxwell Edward Agnew	Surge and Wave Propagation over Wetlands with Respect to Storm Forward Speed	2012-03-16	University of Notre Dame::College of Engineering::Civil and Environmental Engineering and Earth Sciences
und:cv43nv95823	Etd	Catherine M. Punsalan-Manlimos	Langdon Gilkey's Theology of Culture: A Guide for Engaging Science and Religion in the Philippine Context	2007-07-03	University of Notre Dame::College of Arts and Letters::Theology
und:cv43nv9587t	Etd	Jennifer Jungmin Kang	A Stage and Metronome for Translation Services	2010-10-07	University of Notre Dame::College of Arts and Letters::Sociology
und:cv43nv9586g	Etd	Amin Doostmohammadi	Settling and Swimming in Stratified Fluids: Rigid Particles to Self-Propelled Organisms	2014-08-08	University of Notre Dame::College of Engineering::Aerospace and Mechanical Engineering
und:cv43nv9584s	Etd	Jennifer Suzanne Ross-Viola	The Effect of Soy Isoflavones on Nucleotide, Lipid and Drug Metabolism	2008-09-04	University of Notre Dame::College of Engineering::Biological Sciences
und:cv43nv95943	Etd	Zhenqiu Lu	Bayesian Inference of Robust Growth Mixture Models with Non-Ignorable Missing Data	2011-07-29	University of Notre Dame::College of Arts and Letters::Psychology
und:cv43nv95912	Etd	Daniel Gregory Perett	Calculated Insults: The Rhetorical Use of Invective by Latin Authors of the Imperial Age and Late Antiquity	2012-12-20	University of Notre Dame::Centers and Institutes::Medieval Institute
und:cv43nv9592d	Etd	Lei Tong	Implementation of Reliability Index Approach Analysis Tool for Missile Trajectory Simulation	2010-12-22	University of Notre Dame::College of Engineering::Aerospace and Mechanical Engineering
und:cv43nv9593r	Etd	Thade Jude Correa	The Falling Light	2013-05-06	University of Notre Dame::College of Arts and Letters::English
und:cv43nv95b32	Etd	Victor L. Maqque	From the Cacique to the Community: Political Transformations in the Altiplano 1750-1850		University of Notre Dame::College of Arts and Letters::History
und:cv43nv95b8s	Etd	Anjin Guo	SINR Distributions in Cellular Networks: Spatial Stochastic Model Fitting and Analyses		University of Notre Dame::College of Engineering::Electrical Engineering
und:cz30pr78h8x	Etd	Amy M McHenry	Immunological characterization of the P. vivax DBP	2009-04-14	University of Notre Dame::College of Engineering::Biological Sciences
und:cz30pr78j0g	Etd	Paul Edward Slaboch	Fluid Mechanics and Passive Control of the Flow-Excited Helmholtz Resonator	2010-12-01	University of Notre Dame::College of Engineering::Aerospace and Mechanical Engineering
und:cz30pr78k14	Etd	Nahyan A.G. Fancy	Pulmonary Transit and Bodily Resurrection: The Interaction of Medicine, Philosophy and Religion in the Works of Ibn al-Naf&#299;s (d. 1288)	2006-12-04	University of Notre Dame::Centers and Institutes::John J. Reilly Center for Science, Technology and Values
und:cz30pr78k0s	Etd	Lindsay Ann Seders	Experimental Studies of Geochemical Reactions that Affect the Mobility of Metals and Nanoparticles of Environmental Interest	2010-10-19	University of Notre Dame::College of Engineering::Civil and Environmental Engineering and Earth Sciences
und:d217qn61t21	Etd	Yuting Wang	An Uncertain Future: Negotiating Multiple Identities in a Racially and Ethnically Diverse Mosque in the Post-9.11 United States	2010-11-29	University of Notre Dame::College of Arts and Letters::Sociology
und:d217qn61s8s	Etd	Peter James Bui	AIR: Accelerated Image Registration	2010-10-22	University of Notre Dame::College of Engineering::Computer Science and Engineering
und:d217qn61t9f	Etd	Yanghai Yu	Photoelectronic Properties of CdSe and CdTe Nanowires	2010-10-07	University of Notre Dame::College of Engineering::Chemical and Biomolecular Engineering
und:d217qn61t83	Etd	Michael Thomas Hartney	Turning Out Teachers: The Causes and Consequences of Teacher Political Activism in the Postwar United States	2014-08-11	University of Notre Dame::College of Arts and Letters::Political Science
und:d217qn61t52	Etd	Jessica Mary Zekus	Youthful Days	2012-05-24	University of Notre Dame::College of Arts and Letters::Art, Art History, and Design
und:d217qn61t6d	Etd	Matthew Van Hook	Alexander Hamilton: A Theory of Statesmanship	2015-06-04	University of Notre Dame::College of Arts and Letters::Political Science
und:d217qn61t3c	Etd	Drew Kalbach	Planchette, Loud, Spooky Plan	2013-05-15	University of Notre Dame::College of Arts and Letters::English
und:d217qn61v41	Etd	Min Xie	Channel Access and Packet Scheduling in Wireless Multihop Networks with QoS Guarantees	2008-07-21	University of Notre Dame::College of Engineering::Electrical Engineering
und:d217qn61v3p	Etd	Yvonne Anya Gaspar	Between The Plant Sciences: Richard Bradley's Study of Horticulture, Botany and Landscape Design	2012-12-11	University of Notre Dame::Centers and Institutes::John J. Reilly Center for Science, Technology and Values
und:d217qn61v6q	Etd	Karolina Serafin	Culture in Second Language Acquisition	2006-07-25	University of Notre Dame::College of Arts and Letters::Romance Languages and Literatures
und:d217qn61w5p	Etd	MacKenzie Warren	Neutrinos in Core-Collapse Supernovae		University of Notre Dame::College of Science::Physics
und:d217qn61x50	Etd	Andrew John Allen Geist	"He Will Repay Him With Good": The Relationship Between Wealth and Piety in Mesopotamia and Ancient Israel		University of Notre Dame::College of Arts and Letters::Theology
und:d504rj4530p	Etd	Joel N Jimenez Lozano	Peristaltic Flow with Application to Ureteral Biomechanics	2010-12-03	University of Notre Dame::College of Engineering::Aerospace and Mechanical Engineering
und:d504rj4532c	Etd	Brian Scott Dudley	Flavor Physics Effect on Beyond the Standard Model Physics	2010-12-02	University of Notre Dame::College of Science::Physics
und:d504rj45431	Etd	Tonia L. Warnecke	The Incorporation of Gender in Economic Development	2007-12-05	University of Notre Dame::College of Arts and Letters::Economics
und:d504rj4542p	Etd	Jeremy Newkirk	Measurement and Quantification of the Human Shoulder Girdle Motion and Design of a Humanoid Shoulder Girdle Mechanism with Minimal Actuation	2013-10-29	University of Notre Dame::College of Engineering::Aerospace and Mechanical Engineering
und:d504rj4556c	Etd	Joseph S. Manser	Hybrid Lead Halide Perovskites for Light Energy Conversion: Excited State Properties and Photovoltaic Applications		University of Notre Dame::College of Engineering::Chemical and Biomolecular Engineering
und:d504rj45551	Etd	Benjamin J. Wetzel	American Crusade: Lyman Abbott and the Christian Nation at War, 1861-1918		University of Notre Dame::College of Arts and Letters::History
und:d791sf28c0q	Etd	Amit Kumar Verma	Modulating Extreme Electron Densities in Complex Oxides	2015-03-27	University of Notre Dame::College of Engineering::Electrical Engineering
und:d791sf28c5f	Etd	Katelyn Ann Seprish	The Strange Hair and the Pretty Nipple	2015-01-20	University of Notre Dame::College of Arts and Letters::Art, Art History, and Design
und:d791sf28c74	Etd	Ayan Paul	Charm Beyond the Standard Model	2012-05-09	University of Notre Dame::College of Science::Physics
und:d791sf28c6s	Etd	Carly M Kemmis	Investigation of 1,25(OH)2D3 synthesis and vitamin D3 signaling in human mammary epithelial cells	2008-09-02	University of Notre Dame::College of Engineering::Biological Sciences
und:d791sf28c43	Etd	Jaclyn A Dwyer	Bodies in Her Life: A Semi-Fictional Collection	2010-11-29	University of Notre Dame::College of Arts and Letters::English
und:d791sf28d01	Etd	Amaresh Malipatil	Parameter Estimation in Distributed Sensor Networks and CFO Estimation in OFDM Systems	2014-08-08	University of Notre Dame::College of Engineering::Electrical Engineering
und:d791sf28d2q	Etd	Andrea Lindsay Turpin	Gender, Religion, and Moral Vision in the American Academy, 1837-1917	2011-07-28	University of Notre Dame::College of Arts and Letters::History
und:d791sf28d5r	Etd	Thomas Alan Duster	Experimental Determination of Metal Sorption and Transport Parameters for Graphene Oxide	2013-12-20	University of Notre Dame::College of Engineering::Civil and Environmental Engineering and Earth Sciences
und:d791sf28c8g	Etd	Mary L Beard	Reaction Rate Calculations in Dense Stellar Matter	2010-08-06	University of Notre Dame::College of Science::Physics
und:d791sf28d1c	Etd	Jim Thomas	Automated Damage Assessment from High Resolution Remote Sensing Imagery	2010-10-07	University of Notre Dame::College of Engineering::Computer Science and Engineering
und:d791sf28d8s	Etd	Gavin Maxwell Foster	The Social Structures and Cultural Politics of the Irish Civil War	2010-10-26	University of Notre Dame::College of Arts and Letters::History
und:d791sf28d7f	Etd	Karilyn Goden Sheldon	Materia in the Material World of Butrint: Wooden Remains from the Roman Forum	2015-05-05	University of Notre Dame::College of Arts and Letters::Classics
und:d791sf28d63	Etd	Alan Anthony Arico	A Tribological Investigation of Carbon Carbon Composites and the Affect of Roughness and Waviness Parameters on Friction Performance	2010-12-22	University of Notre Dame::College of Engineering::Aerospace and Mechanical Engineering
und:d791sf28f7r	Etd	Nathan T. Evans	Improving Detection and Community Assessment of Rare and At-risk Fishes		University of Notre Dame::College of Engineering::Biological Sciences
und:d791sf28g72	Etd	Stephen J. Molvarec	A City in the Wilderness: The Development of Social Relations in the Carthusian Order, 1084-1340		University of Notre Dame::College of Arts and Letters::History
und:db78tb11n27	Etd	Kari Marie Christoffersen	From a Model of the Nation to Models for Citizens: Religious References in U.S. Presidential Addresses	2010-10-21	University of Notre Dame::College of Arts and Letters::Sociology
und:db78tb11n4x	Etd	Adam Mitchell Knaack	Stress-Strain Properties of Concrete Under Elevated Temperature	2010-12-01	University of Notre Dame::College of Engineering::Civil and Environmental Engineering and Earth Sciences
und:db78tb11p5k	Etd	Radha Krishna Ganti	A Stochastic Geometry Approach to the Interference and Outage Characterization of Large Wireless Networks	2009-12-09	University of Notre Dame::College of Engineering::Electrical Engineering
und:db78tb11p47	Etd	Eric William Hagedorn	The Language of Scientia: Ockham's Mental Language as the Subject Matter of Aristotelian Science	2012-10-17	University of Notre Dame::College of Arts and Letters::Philosophy
und:df65v694x2h	Etd	Charles F Vardeman II	Computational Studies of Metallic Glasses and Nanoparticles	2009-03-13	University of Notre Dame::College of Science::Chemistry and Biochemistry
und:df65v694x6w	Etd	Mark Hamilton Ross	Radiated Sound Generated By Airfoils in a Single Stream Shear Layer	2010-11-29	University of Notre Dame::College of Engineering::Aerospace and Mechanical Engineering
und:df65v694x77	Etd	Joshua Mitchell Lee	Computational Studies on the Mechanism and Stereochemistry of Lewis Acid-Catalyzed Aldol Condensations and Other Molecular Modeling Studies	2014-05-07	University of Notre Dame::College of Science::Chemistry and Biochemistry
und:df65v694z4h	Etd	Ebrahim MolavianJazi	A Unified Approach to Gaussian Channels with Finite Blocklength	2014-10-06	University of Notre Dame::College of Engineering::Electrical Engineering
und:df65v694x8k	Etd	Jooyoung Cha	Penicillin-Binding Proteins in Pathogens: Characterizations of Catalytic Properties in Antibiotic Resistance	2008-07-29	University of Notre Dame::College of Science::Chemistry and Biochemistry
und:df65v694z04	Etd	Kelsey M. Stocker	Development and Application of Non-Periodic and Non-Equilibrium Molecular Dynamics Simulation Methods	2014-07-21	University of Notre Dame::College of Science::Chemistry and Biochemistry
und:df65v694z35	Etd	Leslie Danette Patterson	Syntheses of Desferrioxamine B Conjugates for Use in Antibiotic Delivery and Iron Overload Diseases	2010-10-07	University of Notre Dame::College of Science::Chemistry and Biochemistry
und:df65v694x9x	Etd	Darcy A. Davis	Network-Centric Data Mining for Medical Applications	2012-05-24	University of Notre Dame::College of Engineering::Computer Science and Engineering
und:df65v694z2t	Etd	Caitlin Spencer Mills	How Do Extrinsic Value and Text Difficulty Impact Engagement during Learning? An Experimental Approach	2014-08-08	University of Notre Dame::College of Arts and Letters::Psychology
und:df65v69500q	Etd	Kyle Stewart Haygarth	Radiolysis Studies in Supercritical Water	2010-10-26	University of Notre Dame::College of Science::Chemistry and Biochemistry
und:df65v694z7j	Etd	Raymond Paul Seekell	Dynamics of Dense Microgel Suspensions	2014-12-10	University of Notre Dame::College of Engineering::Chemical and Biomolecular Engineering
und:df65v695012	Etd	Elizabeth L. Antus	The Doors of the Soul: A Critical Augustinian Account of Self-Love		University of Notre Dame::College of Arts and Letters::Theology
und:df65v695132	Etd	Andre P. Audette	The Religious Bases of Latino/a Political Participation		University of Notre Dame::College of Arts and Letters::Political Science
und:dj52w37864j	Etd	Abigail L Palko	Motherhood, Declined: Negotiating Maternal Subjectivities in Irish and Caribbean Novels, 1934 - 2007	2010-10-21	University of Notre Dame::College of Arts and Letters::Literature
und:dj52w378667	Etd	Jeffrey Munson Carney	Intramolecular Hydroamination of Alkynes Catalyzed by Silver-Phenanthroline Complexes	2010-12-01	University of Notre Dame::College of Science::Chemistry and Biochemistry
und:dj52w37876j	Etd	Feng Shen	A Visually Interpretable Iris Recognition System with Crypt Features	2014-11-17	University of Notre Dame::College of Engineering::Computer Science and Engineering
und:dj52w37877w	Etd	John Anderson Hall	The Sacraments in the Compilatio Questionum Theologie of Magister Martinus: Critical Edition with Commentary	2011-01-07	University of Notre Dame::College of Arts and Letters::Medieval Studies
und:dj52w378903	Etd	Evan Harris	EMMA		University of Notre Dame::College of Arts and Letters::English
und:dj52w378b0d	Etd	John Salvatore Marchese	Religion, Revolution, and the Realm of the Literary in Twentieth-Century Central American Prose		University of Notre Dame::College of Arts and Letters::Literature
und:dn39x061g4c	Etd	Lionel Nicolas	Structural Revision, Stereochemical Assignment and Total Synthesis of Gephyronic Acid	2011-03-21	University of Notre Dame::College of Science::Chemistry and Biochemistry
und:dn39x061h4p	Etd	Choonkeun Kim	Aminoglycoside-Modifying Enzymes: Catalytic Mechanisms and Properties	2010-12-23	University of Notre Dame::College of Science::Chemistry and Biochemistry
und:dn39x061h20	Etd	Paul Joseph Scherz	Technology and Subjectivity in the Thought of Alasdair MacIntyre and Michel Foucault	2014-07-09	University of Notre Dame::College of Arts and Letters::Theology
und:dn39x061g8r	Etd	Raja Chakarvorty	Investigation of the Role of Compensation and Origin of Ferromagnetism in Ga<sub>1-x</sub>Mn<sub>x</sub>As Using Magnetic Circular Dichroism Studies	2009-04-29	University of Notre Dame::College of Science::Physics
und:dn39x061h09	Etd	Karsten J. K. Steinhaeuser	Scalable Learning With Thread-Level Parallelism	2010-12-20	University of Notre Dame::College of Engineering::Computer Science and Engineering
und:dn39x061h51	Etd	Marc&#233;e Marie Turner	Personality Factors, Multicultural Exposure, and Cultural Self-Efficacy in a Model of White Fear	2011-07-21	University of Notre Dame::College of Arts and Letters::Psychology
und:dn39x061h1n	Etd	Erin Elizabeth Daly	Stereotype and Generalization in Herodotus and the Temple of Athena Nike: The Creation of the Eastern Other	2015-01-20	University of Notre Dame::College of Arts and Letters::Art, Art History, and Design
und:dn39x061j29	Etd	Marcia E Braun	Sleep and Emotions in Midlife: The Value of Restorative Sleep	2010-10-06	University of Notre Dame::College of Arts and Letters::Psychology
und:dn39x061h6c	Etd	Carl Ross Berntsen	The Remote Microphone Probe for Unsteady Surface Pressure Measurement	2014-10-15	University of Notre Dame::College of Engineering::Aerospace and Mechanical Engineering
und:dn39x061h9d	Etd	Enmamuelle Pardilla Delgado	Does Sleep Influence the Persistence of False Memories Across Long Delays?	2014-12-10	University of Notre Dame::College of Arts and Letters::Psychology
und:dn39x061j0m	Etd	Jennifer Michelle Couture	A Search for Second Class Currents in the A=8 System	2007-12-13	University of Notre Dame::College of Science::Physics
und:dn39x061j1z	Etd	Jessica Sarah Bilofsky Newman	Passages and Other Stories	2015-05-05	University of Notre Dame::College of Arts and Letters::English
und:dn39x061k0x	Etd	Kevin Rinz	Consequences of Voucher Programs for Private Schools		University of Notre Dame::College of Arts and Letters::Economics
und:dn39x061j3n	Etd	Hallie Nuzum	Understanding Relations among Personality, Clinical Syndromes and Functioning		University of Notre Dame::College of Arts and Letters::Psychology
und:dr26xw44r6z	Etd	Pu Wan	Event-triggered Distributed Algorithms for Network Optimization	2010-10-21	University of Notre Dame::College of Engineering::Electrical Engineering
und:dr26xw44r8n	Etd	Shannon Rae Zentall	Early Parent-Child Relationship and Type of Parental Praise and Criticism as Predictors of Toddler Motivation on an Unsolvable Task	2009-04-29	University of Notre Dame::College of Arts and Letters::Psychology
und:dr26xw44s06	Etd	Peng Li	Enhanced Permeability Dielectrics in Nanomagnet Logic	2014-06-03	University of Notre Dame::College of Engineering::Electrical Engineering
und:dr26xw44s99	Etd	Xue Rui	The Adsorption, Mineralization and Reduction of Metal Ions (Cadmium and Uranium) by Microorganisms in the Aqueous System	2011-11-29	University of Notre Dame::College of Science::Physics
und:dr26xw44s8z	Etd	Victor Carmona	Neither Slave Nor Free: A Critique of U.S. Immigration Policy in Light of the Work of David Hollenbach, Gustavo Gutierrez, and Thomas Aquinas	2014-10-17	University of Notre Dame::College of Arts and Letters::Theology
und:dr26xw44t6k	Etd	Jessica Ann Hughes	The Quest for a Novelistic Jesus: Literary Relationships with Jesus in Victorian Realism		University of Notre Dame::College of Arts and Letters::English
und:dr26xw44v2h	Etd	Sayanty Roy	Genetic Architecture and Transcriptomic Basis of Cadmium Response in <i>Daphnia magna</i>		University of Notre Dame::College of Engineering::Biological Sciences
und:dv13zs2823k	Etd	Geoffrey Henry Siwo	Predictive Modeling of Complex Malaria Phenotypes	2014-05-12	University of Notre Dame::College of Engineering::Biological Sciences
und:dv13zs2824x	Etd	Maria O Jobbins	Syntheses of Hydroxamic Acid-Containing Bicyclic ß-Lactam Cores	2014-07-21	University of Notre Dame::College of Science::Chemistry and Biochemistry
und:dv13zs28227	Etd	Shashank V Maiya	Spectral Efficiency and Its Relation to Routing Strategies in Simple Communication Networks	2010-12-20	University of Notre Dame::College of Engineering::Electrical Engineering
und:dv13zs2826m	Etd	James Robert Hogan	Analysis of the Genomic Architecture of Anopheles Gambiae	2008-07-25	University of Notre Dame::College of Engineering::Biological Sciences
und:dv13zs28169	Etd	David Karapetyan	On the well-posedness of the hyperelastic rod equation	2012-03-29	University of Notre Dame::College of Science::Mathematics
und:dv13zs2820j	Etd	Stacy Lynn Hoehn	The Moduli Space of Compact Fiber Bundle Structures on a Fibration	2010-11-29	University of Notre Dame::College of Science::Mathematics
und:dv13zs2832j	Etd	Joseph Stever Gallagher	The Impact of Host Galaxy Environment on the Photometric Properties of Type Ia Supernovae	2007-12-17	University of Notre Dame::College of Science::Physics
und:dv13zs28316	Etd	Andr és Tovar	Bone Remodeling as a Hybrid Cellular Automaton Optimization Process	2004-12-13	University of Notre Dame::College of Engineering::Aerospace and Mechanical Engineering
und:dv13zs2827z	Etd	Kelly Elizabeth Lane	Landscape Dynamics:  Genetics and Parasitism in Balinese Long-tailed Macaques (Macaca fascicularis)	2011-09-21	University of Notre Dame::College of Engineering::Biological Sciences
und:dv13zs2833w	Etd	Peter Ryan	Sacred Ambiguity: Group Inclusivity and Distinctiveness at First Community Unitarian Universalist	2015-05-06	University of Notre Dame::College of Arts and Letters::Sociology
und:dv13zs2842v	Etd	Kasey J Clear	Molecular Probes for Biomembrane Recognition		University of Notre Dame::College of Science::Chemistry and Biochemistry
und:dv13zs28347	Etd	Katie Kristine Thorne	An Experimental Investigation of Compressible Dynamic Stall on a 2-D pitching airfoil	2010-09-02	University of Notre Dame::College of Engineering::Aerospace and Mechanical Engineering
und:dv13zs2853h	Etd	Hao Wang	Coupled Plasmonics for TERS and Understanding of Quantum Effects in Plasmonic Junctions		University of Notre Dame::College of Science::Chemistry and Biochemistry
und:dz010p1198p	Etd	Lindsay Elizabeth Ficke	Thermodynamic Properties of Imidazolium and Phosphonium Based Ionic Liquid Mixtures with Water or Carbon Dioxide	2010-10-21	University of Notre Dame::College of Engineering::Chemical and Biomolecular Engineering
und:dz010p11b69	Etd	Mitchell O. Stokes	Quinean Meta-Ontology and Fictionalism	2005-11-16	University of Notre Dame::College of Arts and Letters::Philosophy
und:dz010p11b07	Etd	Amanda Georgeanne Michaels	Open Season: Fanfiction Theory Beyond 'Textual Poachers'	2010-12-01	University of Notre Dame::College of Arts and Letters::English
und:dz010p11b2x	Etd	Caroline Elizabeth Byrd	Gesturing May Not Always Make Learning Last	2015-01-20	University of Notre Dame::College of Arts and Letters::Psychology
und:dz010p11c1w	Etd	Martina Cucchiara	"Bitter Times:" The Poor School Sisters of Notre Dame in Hitler's Germany, 1933 to 1945	2011-12-06	University of Notre Dame::College of Arts and Letters::History
und:dz010p11c0j	Etd	Brian Ray Novak	Molecular Simulation Studies of Heterogeneous Bubble Nucleation: Effects of Surface Chemistry and Topology	2007-10-18	University of Notre Dame::College of Engineering::Chemical and Biomolecular Engineering
und:dz010p11c7z	Etd	James Wismer	<em>Res Novae: </em>Epicurean Metaphor in<em> De Rerum Natura</em>		University of Notre Dame::College of Arts and Letters::Classics
und:f1881j94k87	Etd	Jeffrey Thomas Wickes	Out of Books, A World: The Scriptural Poetics of Ephrem the Syrian's <i>Hymns on Faith</i>	2013-04-29	University of Notre Dame::College of Arts and Letters::Theology
und:f1881j94m2g	Etd	Stephen L Erwin	Extraction of Full-Scale Dynamic Properties from Short Duration Records	2010-11-29	University of Notre Dame::College of Engineering::Civil and Environmental Engineering and Earth Sciences
und:f1881j94m5h	Etd	Velmurugan Balaraman	Hammerhead Ribozyme Mediated Suppression of Chikungunya Virus Replication in Vero Cells	2014-05-09	University of Notre Dame::College of Engineering::Biological Sciences
und:f1881j94m45	Etd	David Andrew Pitt	Revising the Rite of Adult Initiation: The Structural Reform of the Ordo Initiationis Christianae Adultorum, Ordo Catechumenatus per Gradus Dispositus, 1964-1972	2008-09-04	University of Notre Dame::College of Arts and Letters::Theology
und:f1881j94m6v	Etd	Kate Nicholls	Europeanizing Responses to Labor Market Challenges in Greece, Ireland, and Portugal: The Importance of Consultative and Incorporative Policy-Making	2007-06-22	University of Notre Dame::College of Arts and Letters::Political Science
und:f1881j94m8j	Etd	David A. Hartman	Toward an Understanding of How Religion Affects the Timing of Sexual Debuts: A Test of Smith's Framework	2010-12-23	University of Notre Dame::College of Arts and Letters::Sociology
und:f1881j94n03	Etd	John M Holmes	Sustainable Energy Development	2010-10-05	University of Notre Dame::College of Science::Mathematics
und:f1881j94n4g	Etd	Yiying Luo	Characterizing the Role of Cell Polarity Genes: Pard3, Lin7, and Scribble in Zebrafish Retina Development	2007-12-13	University of Notre Dame::College of Engineering::Biological Sciences
und:f1881j94n65	Etd	Daniel J. Kim	The Political Economy of Corporate Governance and Reform: Industrial Policy, Financial Crises, and the Path of Corporate Governance Restructuring Policy	2010-08-12	University of Notre Dame::College of Arts and Letters::Economics
und:f1881j94n5t	Etd	Kathleen Targowski Ashenfelter	Simultaneous Analysis of Verbal and Nonverbal Data During Conversation: Symmetry and Turn-taking	2007-12-19	University of Notre Dame::College of Arts and Letters::Psychology
und:f1881j94n34	Etd	Keefe Roedersheimer	A Study of the Impact of Multi-Leaf Collimator Rotation	2010-10-04	University of Notre Dame::College of Engineering::Computer Science and Engineering
und:f1881j94q5f	Etd	Madeline Ahmed Cronin	"The Politics of Taste: Mary Wollstonecraft and Jane Austen on the Cultivation of Democratic Judgment"		University of Notre Dame::College of Arts and Letters::Political Science
und:f4752f77w0v	Etd	Sean Michael Hoban	Natural and anthropogenic influences on population dynamics in butternut (Juglans cinerea L.)	2010-10-21	University of Notre Dame::College of Engineering::Biological Sciences
und:f4752f77w2j	Etd	Patrick Meredith Gardner	Dante and the Suffering Soul	2010-01-26	University of Notre Dame::College of Arts and Letters::Medieval Studies
und:f4752f77w47	Etd	Catherine Rastovski	Metastable Vortex Lattice Dynamics in MgB<sub>2</sub> Studied by Small Angle Neutron Scattering	2014-04-28	University of Notre Dame::College of Science::Physics
und:f4752f77w8m	Etd	David Andrew Teeter	Exegesis in the Transmission of Biblical Law in the Second Temple Period: Preliminary Studies	2008-07-17	University of Notre Dame::College of Arts and Letters::Theology
und:f4752f77x2v	Etd	Luling Yang	Shear Stiffness Modeling of Cemented Sand	2007-10-15	University of Notre Dame::College of Engineering::Civil and Environmental Engineering and Earth Sciences
und:f4752f77x8x	Etd	Nathaniel R. Myers	Death Matters: Lyric, Affect, and Ethics in British and Irish Elegy, 1960-2012		University of Notre Dame::College of Arts and Letters::English
und:f4752f77z6j	Etd	Ana M. Jimenez-Moreno	Writing out of the Center: English Interwar Authors Reflect on the Legacy of the Mexican Revolution		University of Notre Dame::College of Arts and Letters::English
und:f4752f78002	Etd	Jiazhuo Wang	New Approaches for Biological Structures Identification in Histology Tissue Images		University of Notre Dame::College of Engineering::Computer Science and Engineering
und:f7623b6150p	Etd	Brian Gerald Morgen	Friction-Damped Unbonded Post-Tensioned Precast Concrete Moment Frame Structures for Seismic Regions	2008-09-04	University of Notre Dame::College of Engineering::Civil and Environmental Engineering and Earth Sciences
und:f7623b61542	Etd	Nathan L Whitfield	Hydrogen Sulfide and its Potential Role as an Oxygen Sensor	2010-10-13	University of Notre Dame::College of Engineering::Biological Sciences
und:f7623b61600	Etd	Neal Manu Patel	Crashworthiness Design using Topology Optimization	2008-09-04	University of Notre Dame::College of Engineering::Aerospace and Mechanical Engineering
und:f7623b61573	Etd	Kuldeep Niraula	Addressing the Neglect of Local Peacebuilding Practices Through Documentaries: A Case of Everyday Gandhis	2015-05-05	University of Notre Dame::Keough School of Global Affairs::Global Affairs
und:f7623b6167d	Etd	Song Guo	Scanning Tunneling Microscopy Studies of Dinuclear Organometallic Molecules on Au(111)	2010-12-14	University of Notre Dame::College of Science::Chemistry and Biochemistry
und:f7623b6168r	Etd	James E. Helmer	The Rights of Peoples? A Theological Analysis of Cultural Rights	2010-10-05	University of Notre Dame::College of Arts and Letters::Theology
und:f7623b6161b	Etd	Kathleen Patricia McCoy	Early Childhood Exposure to Constructive and Destructive Marital Conflict and Adolescent Social Adjustment	2011-08-01	University of Notre Dame::College of Arts and Letters::Psychology
und:f7623b61662	Etd	Sunil Srinivasa	Modeling Interference in Uniformly Random Wireless Networks: Theory and Applications	2007-12-13	University of Notre Dame::College of Engineering::Electrical Engineering
und:f7623b6165q	Etd	Ryan M Sweeny	Making Sense of the Mozart Effect: Correcting the Problems Created by Null Hypothesis Significance Testing	2006-12-20	University of Notre Dame::College of Arts and Letters::Psychology
und:f7623b6162p	Etd	Lavaughn A Pritchard	The Link Between Financial Liberalization and Financial Crisis: A Case Study of Trinidad and Tobago	2010-10-05	University of Notre Dame::College of Arts and Letters::Economics
und:fb494744f63	Etd	Ling Sun	Role of Hemodynamic Shear Stress Abnormalities in Calcific Aortic Valve Disease	2014-05-08	University of Notre Dame::College of Engineering::Aerospace and Mechanical Engineering
und:fb494744f4d	Etd	Joseph Paul Vasquez, III	International Politics by Ordinary Means:  Conscription's Constraining Effect on Democracies Waging War	2010-12-02	University of Notre Dame::College of Arts and Letters::Political Science
und:fb494744f32	Etd	Gail Maureen Mulligan	The Participation of Language Minority Families in Formal School Activities	2005-04-21	University of Notre Dame::College of Arts and Letters::Sociology
und:fb494744f2q	Etd	Xiaoyang Chen	Curvature and Riemannian Submersions	2014-04-10	University of Notre Dame::College of Science::Mathematics
und:fb494744g0b	Etd	David R. Swartz	Left Behind: The Evangelical Left and the Limits of Evangelical Politics, 1965-1988	2008-07-09	University of Notre Dame::College of Arts and Letters::History
und:fb494744g52	Etd	Sarah S Roley	The Influence of Floodplain Restoration on Stream Ecosystem Function in an Agricultural Landscape	2012-12-10	University of Notre Dame::College of Engineering::Biological Sciences
und:fb494744g4q	Etd	Manshu Yang	Treatment Effects in Randomized Longitudinal Trials with Different Types of Non-Ignorable Dropout	2010-11-08	University of Notre Dame::College of Arts and Letters::Psychology
und:fb494744h72	Etd	Linlin Liu	Essays on Asset Returns and Portfolio Allocation		University of Notre Dame::College of Arts and Letters::Economics
und:fb494744h8d	Etd	Nicole Lyn Sund	Preasymptotic Approaches to Upscaling of Diffusion Limited Transport of Solutes		University of Notre Dame::College of Engineering::Civil and Environmental Engineering and Earth Sciences
